scheme,slice_id,slice_name,placed_tier,sla_threshold_ms,mean_delay_ms,p50_delay_ms,p95_delay_ms,p99_delay_ms,p99_9_delay_ms,sla_satisfaction_pct
Full Algorithm (Proposed PL),1,CCTV Video Analytics,regional,20.0,22.52,22.4,25.66,26.93,28.32,8.8
Full Algorithm (Proposed PL),2,Physical-AI Teleoperation,edge,10.0,43.01,42.88,48.51,51.06,53.03,0.0
Full Algorithm (Proposed PL),3,OTT 4K Video Streaming,central,50.0,1.84,1.64,3.54,4.83,5.82,100.0
Full Algorithm (Proposed PL),4,IoT Telemetry Ingestion,central,100.0,1.81,1.62,3.58,4.43,5.35,100.0
Fixed Edge,1,CCTV Video Analytics,edge,20.0,42.74,42.55,48.34,51.7,53.96,0.0
Fixed Edge,2,Physical-AI Teleoperation,edge,10.0,43.78,43.66,49.4,51.97,53.98,0.0
Fixed Edge,3,OTT 4K Video Streaming,edge,50.0,42.64,42.6,48.14,49.85,52.25,99.0
Fixed Edge,4,IoT Telemetry Ingestion,edge,100.0,43.0,42.97,48.58,51.58,54.72,100.0
Fixed Regional,1,CCTV Video Analytics,regional,20.0,22.48,22.36,25.62,26.88,28.27,8.8
Fixed Regional,2,Physical-AI Teleoperation,regional,10.0,23.69,23.54,27.21,29.07,30.74,0.0
Fixed Regional,3,OTT 4K Video Streaming,regional,50.0,22.53,22.52,25.37,27.05,28.26,100.0
Fixed Regional,4,IoT Telemetry Ingestion,regional,100.0,22.68,22.7,25.96,27.6,28.91,100.0
Fixed Central,1,CCTV Video Analytics,central,20.0,1.84,1.63,3.57,4.55,5.53,100.0
Fixed Central,2,Physical-AI Teleoperation,central,10.0,1.73,1.53,3.48,4.77,5.37,100.0
Fixed Central,3,OTT 4K Video Streaming,central,50.0,1.77,1.57,3.47,4.76,5.74,100.0
Fixed Central,4,IoT Telemetry Ingestion,central,100.0,1.81,1.63,3.59,4.44,5.36,100.0
