scheme,sla_target_pct,actual_sla_satisfaction_pct,total_opex,effective_opex_with_penalty,compute_cost,gpu_cost,transport_cost,sla_target_met
Full Algorithm (Proposed PL),95.0,52.2,36.48,270.68,24.48,6.5,5.5,False
Full Algorithm (Proposed PL),99.0,52.2,36.48,292.57,24.48,6.5,5.5,False
Full Algorithm (Proposed PL),99.9,52.2,36.48,297.49,24.48,6.5,5.5,False
Full Algorithm (Proposed PL),99.99,52.2,36.48,297.99,24.48,6.5,5.5,False
Fixed Edge,95.0,49.75,43.5,338.76,36.0,7.5,0.0,False
Fixed Edge,99.0,49.75,43.5,364.86,36.0,7.5,0.0,False
Fixed Edge,99.9,49.75,43.5,370.73,36.0,7.5,0.0,False
Fixed Edge,99.99,49.75,43.5,371.32,36.0,7.5,0.0,False
Fixed Regional,95.0,52.2,30.6,227.05,21.6,4.5,4.5,False
Fixed Regional,99.0,52.2,30.6,245.41,21.6,4.5,4.5,False
Fixed Regional,99.9,52.2,30.6,249.54,21.6,4.5,4.5,False
Fixed Regional,99.99,52.2,30.6,249.96,21.6,4.5,4.5,False
Fixed Central,95.0,100.0,24.0,24.0,12.0,3.0,9.0,True
Fixed Central,99.0,100.0,24.0,24.0,12.0,3.0,9.0,True
Fixed Central,99.9,100.0,24.0,24.0,12.0,3.0,9.0,True
Fixed Central,99.99,100.0,24.0,24.0,12.0,3.0,9.0,True
