scheme,step,hour,load,slice,slice_name,offered_mbps,delivered_mbps,radio_mbps,compute_cap_mbps,eta,d_e2e_ms,d_transport_ms,d_proc_ms,violated,placement
S0,0,0,0.2,1,BE-DL,4.0,4.0,123.86149286267826,20.0,2.2685255103054627,115.29675184487817,112.0,2.0,0,central/central/edge
S0,0,0,0.2,2,YOLO,3.0,3.0,64.73765268906754,15.0,1.1856712946715668,116.84221067008377,112.0,3.6,1,central/central/edge
S0,0,0,0.2,3,VIDEO,6.4,6.4,49.041511304924136,32.0,0.8981961777458632,116.36681386048642,112.0,1.6,1,central/central/edge
S0,0,0,0.2,4,CPU-OFF,1.6,1.6,95.59743532421902,8.0,1.7508687788318502,133.1680034283701,112.0,18.0,0,central/central/edge
S0,0,0,0.2,5,MQTT,0.4,0.4,57.13565812841797,2.0,1.0464406250626002,113.22073617138066,112.0,0.6,1,central/central/edge
S0,1,0,0.2,1,BE-DL,4.0,4.0,97.94264207353166,20.0,1.7938212833980156,117.38436770056836,112.0,2.0,0,central/central/edge
S0,1,0,0.2,2,YOLO,3.0,3.0,134.9134417225039,15.0,2.4709421560898153,118.81947556188047,112.0,3.6,1,central/central/edge
S0,1,0,0.2,3,VIDEO,6.4,6.4,102.71362006388777,32.0,1.8812018326719373,115.82554781450628,112.0,1.6,1,central/central/edge
S0,1,0,0.2,4,CPU-OFF,1.6,1.6,42.289856483351265,8.0,0.7745394960320744,132.6345623397768,112.0,18.0,0,central/central/edge
S0,1,0,0.2,5,MQTT,0.4,0.4,45.496076169329775,2.0,0.8332614683027431,114.40303793712823,112.0,0.6,1,central/central/edge
S0,2,0,0.2,1,BE-DL,4.0,4.0,114.644357093162,20.0,2.099713499874762,114.97264725425056,112.0,2.0,0,central/central/edge
S0,2,0,0.2,2,YOLO,3.0,3.0,128.67042685082038,15.0,2.3566012243739998,116.3921656989519,112.0,3.6,1,central/central/edge
S0,2,0,0.2,3,VIDEO,6.4,6.4,91.79754233984427,32.0,1.681273669227917,115.44035895170836,112.0,1.6,1,central/central/edge
S0,2,0,0.2,4,CPU-OFF,1.6,1.6,58.912619435325446,8.0,1.0789857039436894,131.5081922123955,112.0,18.0,0,central/central/edge
S0,2,0,0.2,5,MQTT,0.4,0.4,48.301902594267446,2.0,0.8846502306642389,114.92113217165408,112.0,0.6,1,central/central/edge
S0,3,0,0.2,1,BE-DL,4.0,4.0,84.68244504922842,20.0,1.5509605320371505,115.27813280396337,112.0,2.0,0,central/central/edge
S0,3,0,0.2,2,YOLO,3.0,3.0,117.80988751998586,15.0,2.1576902476187887,116.28389159955043,112.0,3.6,1,central/central/edge
S0,3,0,0.2,3,VIDEO,6.4,6.4,35.37461031792547,32.0,0.6478866358594408,115.68203054852118,112.0,1.6,1,central/central/edge
S0,3,0,0.2,4,CPU-OFF,1.6,1.6,51.52426832087849,8.0,0.9436679179648075,131.52359604582725,112.0,18.0,0,central/central/edge
S0,3,0,0.2,5,MQTT,0.4,0.4,46.705846348033724,2.0,0.8554184312826689,113.64997026310802,112.0,0.6,1,central/central/edge
S0,4,0,0.2,1,BE-DL,4.0,4.0,138.63774487934575,20.0,2.539152836618054,116.12348386839743,112.0,2.0,0,central/central/edge
S0,4,0,0.2,2,YOLO,3.0,3.0,55.24370149866236,15.0,1.0117894047374059,116.80785202533552,112.0,3.6,1,central/central/edge
S0,4,0,0.2,3,VIDEO,6.4,6.4,90.37864635587324,32.0,1.6552865632943816,116.91386926842877,112.0,1.6,1,central/central/edge
S0,4,0,0.2,4,CPU-OFF,1.6,1.6,72.52462653372514,8.0,1.328289863255039,131.9718208107589,112.0,18.0,0,central/central/edge
S0,4,0,0.2,5,MQTT,0.4,0.4,79.02920596154557,2.0,1.4474213546070618,114.11466958866983,112.0,0.6,1,central/central/edge
S0,5,0,0.2,1,BE-DL,4.0,4.0,107.60326193355598,20.0,1.970755713068791,116.43598204546824,112.0,2.0,0,central/central/edge
S0,5,0,0.2,2,YOLO,3.0,3.0,61.9593348130292,15.0,1.1347863518869816,116.69837114541829,112.0,3.6,1,central/central/edge
S0,5,0,0.2,3,VIDEO,6.4,6.4,76.21759651693053,32.0,1.3959266761342588,114.51543566209129,112.0,1.6,1,central/central/edge
S0,5,0,0.2,4,CPU-OFF,1.6,1.6,25.598680666069484,8.0,0.4688403052393678,132.45294311325299,112.0,18.0,0,central/central/edge
S0,5,0,0.2,5,MQTT,0.4,0.4,46.79731442302346,2.0,0.8570936707513453,113.39762192617574,112.0,0.6,1,central/central/edge
S0,6,0,0.2,1,BE-DL,4.0,4.0,78.7455997268919,20.0,1.4422271012251262,116.55934230425456,112.0,2.0,0,central/central/edge
S0,6,0,0.2,2,YOLO,3.0,3.0,57.83357343045628,15.0,1.0592229566017635,117.5196907261862,112.0,3.6,1,central/central/edge
S0,6,0,0.2,3,VIDEO,6.4,6.4,50.35526575440326,32.0,0.9222576145495103,115.77526140869078,112.0,1.6,1,central/central/edge
S0,6,0,0.2,4,CPU-OFF,1.6,1.6,58.49126091690753,8.0,1.0712685149616763,131.3025051087889,112.0,18.0,0,central/central/edge
S0,6,0,0.2,5,MQTT,0.4,0.4,78.35159706354503,2.0,1.4350109352297624,114.07067640972221,112.0,0.6,1,central/central/edge
S0,7,0,0.2,1,BE-DL,4.0,4.0,41.0778565500281,20.0,0.7523416950554598,116.36473727997368,112.0,2.0,0,central/central/edge
S0,7,0,0.2,2,YOLO,3.0,3.0,66.72881623856448,15.0,1.2221394915488,117.62012126573669,112.0,3.6,1,central/central/edge
